Source ,Relation,Targer 
BusinessService,FlowRelationship,BusinessProcess
BusinessService,AssociationRelationship,BusinessProcess
BusinessService,TriggeringRelationship,BusinessProcess
BusinessService,ServingRelationship,BusinessProcess
BusinessService,FlowRelationship,BusinessFunction
BusinessService,AssociationRelationship,BusinessFunction
BusinessService,TriggeringRelationship,BusinessFunction
BusinessService,ServingRelationship,BusinessFunction
BusinessService,FlowRelationship,BusinessInteraction
BusinessService,AssociationRelationship,BusinessInteraction
BusinessService,TriggeringRelationship,BusinessInteraction
BusinessService,ServingRelationship,BusinessInteraction
BusinessService,FlowRelationship,BusinessEvent
BusinessService,AssociationRelationship,BusinessEvent
BusinessService,TriggeringRelationship,BusinessEvent
BusinessService,ServingRelationship,BusinessEvent
BusinessService,CompositionRelationship,BusinessService
BusinessService,FlowRelationship,BusinessService
BusinessService,AggregationRelationship,BusinessService
BusinessService,AssociationRelationship,BusinessService
BusinessService,SpecializationRelationship,BusinessService
BusinessService,TriggeringRelationship,BusinessService
BusinessService,ServingRelationship,BusinessService
BusinessService,AccessRelationship,BusinessObject
BusinessService,AssociationRelationship,BusinessObject
BusinessService,AccessRelationship,Representation
BusinessService,AssociationRelationship,Representation
BusinessService,FlowRelationship,BusinessRole
BusinessService,AssociationRelationship,BusinessRole
BusinessService,TriggeringRelationship,BusinessRole
BusinessService,ServingRelationship,BusinessRole
BusinessService,FlowRelationship,BusinessActor
BusinessService,AssociationRelationship,BusinessActor
BusinessService,TriggeringRelationship,BusinessActor
BusinessService,ServingRelationship,BusinessActor
BusinessService,FlowRelationship,BusinessCollabration
BusinessService,AssociationRelationship,BusinessCollabration
BusinessService,TriggeringRelationship,BusinessCollabration
BusinessService,ServingRelationship,BusinessCollabration
BusinessInterface,FlowRelationship,BusinessService
BusinessInterface,AssignmentRelationship,BusinessService
BusinessInterface,AssociationRelationship,BusinessService
BusinessInterface,TriggeringRelationship,BusinessService
BusinessInterface,ServingRelationship,BusinessService
BusinessInterface,FlowRelationship,BusinessRole
BusinessInterface,AssociationRelationship,BusinessRole
BusinessInterface,TriggeringRelationship,BusinessRole
BusinessInterface,ServingRelationship,BusinessRole
BusinessInterface,FlowRelationship,BusinessActor
BusinessInterface,AssociationRelationship,BusinessActor
BusinessInterface,TriggeringRelationship,BusinessActor
BusinessInterface,ServingRelationship,BusinessActor
BusinessInterface,FlowRelationship,BusinessCollaboration
BusinessInterface,AssociationRelationship,BusinessCollaboration
BusinessInterface,TriggeringRelationship,BusinessCollaboration
BusinessInterface,ServingRelationship,BusinessCollaboration
BusinessRole,CompositionRelationship,BusinessInterface
BusinessRole,FlowRelationship,BusinessInterface
BusinessRole,AggregationRelationship,BusinessInterface
BusinessRole,AssignmentRelationship,BusinessInterface
BusinessRole,AssociationRelationship,BusinessInterface
BusinessRole,TriggeringRelationship,BusinessInterface
BusinessRole,ServingRelationship,BusinessInterface
BusinessRole,FlowRelationship,BusinessProcess
BusinessRole,AssignmentRelationship,BusinessProcess
BusinessRole,AssociationRelationship,BusinessProcess
BusinessRole,TriggeringRelationship,BusinessProcess
BusinessRole,ServingRelationship,BusinessProcess
BusinessRole,FlowRelationship,BusinessFunction
BusinessRole,AssignmentRelationship,BusinessFunction
BusinessRole,AssociationRelationship,BusinessFunction
BusinessRole,TriggeringRelationship,BusinessFunction
BusinessRole,ServingRelationship,BusinessFunction
BusinessRole,FlowRelationship,BusinessInteraction
BusinessRole,AssignmentRelationship,BusinessInteraction
BusinessRole,AssociationRelationship,BusinessInteraction
BusinessRole,TriggeringRelationship,BusinessInteraction
BusinessRole,ServingRelationship,BusinessInteraction
BusinessRole,Unknown notation,BusinessInteraction
BusinessRole,FlowRelationship,BusinessEvent
BusinessRole,AssignmentRelationship,BusinessEvent
BusinessRole,AssociationRelationship,BusinessEvent
BusinessRole,TriggeringRelationship,BusinessEvent
BusinessRole,ServingRelationship,BusinessEvent
BusinessRole,Unknown notation,BusinessEvent
BusinessActor,CompositionRelationship,BusinessInterface
BusinessActor,FlowRelationship,BusinessInterface
BusinessActor,AggregationRelationship,BusinessInterface
BusinessActor,AssignmentRelationship,BusinessInterface
BusinessActor,AssociationRelationship,BusinessInterface
BusinessActor,TriggeringRelationship,BusinessInterface
BusinessActor,ServingRelationship,BusinessInterface
BusinessActor,FlowRelationship,BusinessProcess
BusinessActor,AssignmentRelationship,BusinessProcess
BusinessActor,AssociationRelationship,BusinessProcess
BusinessActor,TriggeringRelationship,BusinessProcess
BusinessActor,ServingRelationship,BusinessProcess
BusinessActor,FlowRelationship,BusinessFunction
BusinessActor,AssignmentRelationship,BusinessFunction
BusinessActor,AssociationRelationship,BusinessFunction
BusinessActor,TriggeringRelationship,BusinessFunction
BusinessActor,ServingRelationship,BusinessFunction
BusinessActor,FlowRelationship,BusinessInteraction
BusinessActor,AssignmentRelationship,BusinessInteraction
BusinessActor,AssociationRelationship,BusinessInteraction
BusinessActor,TriggeringRelationship,BusinessInteraction
BusinessActor,ServingRelationship,BusinessInteraction
BusinessActor,Unknown notation,BusinessInteraction
BusinessActor,FlowRelationship,BusinessEvent
BusinessActor,AssignmentRelationship,BusinessEvent
